first_name,last_name,email,,doctor_name,phone,dob,appointment_date
himanshu,dev,vidhya@mailinator.com,,vidyout,8445612365,01-01-91,03/15/2021
tejas,vedf,uiii@mailiantor.com,,testinggg,4514146558,01-01-91,
shivam,vijasy,gautam@mailinator.co,,dfdsf,8925411411,01-01-91,
,,durgesh@mailinator.com,,,5435435454,,
,,,,,5874141515,,
,,Shiyaram@mailinator.com,,,,,
,,Shiyaram@mailinator.com,,,,,
,,,,,6666666666,,
,,shiyaram@mailinator.com,,,,,
,,Shiyaramm@mailinator.com,,,,,
testtt,tetete,viswah@mailinator.com,,,1122336655,01-01-91,
,,naveen@mailinator.com,,,,,
,,,,,,,
drash,ressd,drash@mailinator.com,,,4543234543,01-01-91,
vijash,vijash,test002@getnada.com,,,8456233256,01-01-91,
dfdf,dfdf,test003@getnada.com,,,4543232323,01-01-91,
